time,ghi,dni,dhi,temp_c,wind_ms,pressure_pa
20210317:0400,0.0,0.0,0.0,5.88,1.52,99020.0
20210317:0500,0.0,0.0,0.0,5.64,1.59,99030.0
20210317:0600,0.0,0.0,0.0,5.38,1.66,99050.0
20210317:0700,138.0,467.18,55.0,5.78,1.45,99070.0
20210317:0800,346.0,680.26,95.0,9.82,1.1,99110.0
20210317:0900,538.0,784.4,119.0,13.05,1.17,99120.0
20210317:1000,691.0,836.89,137.0,14.7,0.9,99120.0
20210317:1100,813.0,931.84,120.0,15.97,0.83,99060.0
20210317:1200,847.0,931.84,126.0,17.01,1.17,98990.0
20210317:1300,808.0,898.57,134.0,17.71,1.52,98890.0
20210317:1400,721.0,889.77,121.0,18.1,1.79,98770.0
20210317:1500,556.0,781.31,125.0,18.15,1.93,98700.0
20210317:1600,374.0,714.7,95.0,17.78,2.14,98650.0
20210317:1700,161.0,491.25,62.0,16.89,2.28,98580.0
20210317:1800,0.0,0.0,0.0,15.38,1.93,98540.0
20210317:1900,0.0,0.0,0.0,13.47,1.52,98510.0
20210317:2000,0.0,0.0,0.0,12.3,1.17,98530.0
20210317:2100,0.0,0.0,0.0,11.11,0.9,98550.0
20210317:2200,0.0,0.0,0.0,11.31,0.41,98580.0
20210317:2300,0.0,0.0,0.0,10.21,0.9,98600.0
20210318:0000,0.0,0.0,0.0,8.7,1.52,98580.0
20210318:0100,0.0,0.0,0.0,8.08,1.59,98550.0
20210318:0200,0.0,0.0,0.0,7.96,1.45,98530.0
20210318:0300,0.0,0.0,0.0,8.31,1.59,98500.0
20210318:0400,0.0,0.0,0.0,8.61,1.86,98480.0
20210318:0500,0.0,0.0,0.0,8.72,2.07,98490.0
20210318:0600,0.0,0.0,0.0,8.69,2.28,98480.0
20210318:0700,119.0,256.94,72.0,8.82,1.93,98440.0
20210318:0800,277.0,310.02,161.0,10.97,2.14,98470.0
20210318:0900,107.0,0.0,107.0,12.27,2.9,98450.0
20210318:1000,207.0,0.0,207.0,12.92,2.83,98450.0
20210318:1100,104.0,0.0,104.0,13.36,2.69,98410.0
20210318:1200,73.0,0.0,73.0,13.21,2.97,98420.0
20210318:1300,71.0,0.0,71.0,12.27,4.07,98360.0
20210318:1400,249.0,4.42,246.0,10.93,4.83,98320.0
20210318:1500,137.0,0.0,137.0,10.0,5.03,98280.0
20210318:1600,66.0,0.0,66.0,9.21,4.97,98270.0
20210318:1700,60.0,4.88,59.0,8.32,4.28,98290.0
20210318:1800,0.0,0.0,0.0,7.75,3.72,98290.0
20210318:1900,0.0,0.0,0.0,7.36,2.62,98280.0
20210318:2000,0.0,0.0,0.0,7.31,2.14,98290.0
20210318:2100,0.0,0.0,0.0,7.26,1.86,98310.0
20210318:2200,0.0,0.0,0.0,6.97,1.93,98300.0
20210318:2300,0.0,0.0,0.0,6.89,1.93,98280.0
20210319:0000,0.0,0.0,0.0,6.72,1.93,98260.0
20210319:0100,0.0,0.0,0.0,6.62,1.86,98210.0
20210319:0200,0.0,0.0,0.0,6.3,1.86,98160.0
20210319:0300,0.0,0.0,0.0,6.12,1.86,98090.0
20210319:0400,0.0,0.0,0.0,6.21,1.72,98040.0
20210319:0500,0.0,0.0,0.0,6.33,1.66,98010.0
20210319:0600,0.0,0.0,0.0,6.32,1.66,97980.0
20210319:0700,102.0,127.53,78.0,7.05,1.93,98000.0
20210319:0800,178.0,42.18,162.0,7.99,2.14,98000.0
20210319:0900,384.0,218.64,265.0,8.74,2.97,98000.0
20210319:1000,519.0,290.32,324.0,9.95,3.24,97970.0
20210319:1100,367.0,30.55,344.0,11.24,2.83,97930.0
20210319:1200,304.0,5.11,300.0,12.59,2.76,97880.0
20210319:1300,439.0,79.13,379.0,13.39,3.31,97780.0
20210319:1400,399.0,86.51,340.0,13.25,3.72,97690.0
20210319:1500,297.0,60.84,263.0,13.21,4.41,97640.0
20210319:1600,320.0,407.85,158.0,13.14,4.14,97630.0
20210319:1700,163.0,466.12,66.0,12.54,2.62,97600.0
20210319:1800,0.0,0.0,0.0,11.38,1.72,97630.0
20210319:1900,0.0,0.0,0.0,10.12,1.72,97620.0
20210319:2000,0.0,0.0,0.0,8.57,2.48,97740.0
20210319:2100,0.0,0.0,0.0,7.37,2.9,97770.0
20210319:2200,0.0,0.0,0.0,6.54,3.86,97820.0
20210319:2300,0.0,0.0,0.0,6.07,4.28,97870.0
20210320:0000,0.0,0.0,0.0,5.55,3.86,97890.0
20210320:0100,0.0,0.0,0.0,5.52,3.1,97880.0
20210320:0200,0.0,0.0,0.0,5.52,2.83,97880.0
20210320:0300,0.0,0.0,0.0,5.33,2.97,97870.0
20210320:0400,0.0,0.0,0.0,4.73,3.17,97880.0
20210320:0500,0.0,0.0,0.0,4.38,3.31,97900.0
20210320:0600,0.0,0.0,0.0,3.94,3.38,97930.0
20210320:0700,139.0,356.66,70.0,5.5,3.31,97940.0
20210320:0800,294.0,338.07,164.0,6.61,3.24,98000.0
20210320:0900,504.0,573.48,189.0,7.89,4.34,98060.0
20210320:1000,664.0,685.9,200.0,9.17,6.28,98100.0
20210320:1100,680.0,483.18,314.0,10.19,7.52,98110.0
20210320:1200,128.0,0.0,128.0,10.8,7.72,98130.0
20210320:1300,492.0,128.56,394.0,11.28,7.72,98130.0
20210320:1400,550.0,328.11,325.0,11.65,7.66,98130.0
20210320:1500,521.0,590.35,189.0,11.58,7.31,98140.0
20210320:1600,258.0,169.76,190.0,11.13,6.69,98180.0
20210320:1700,140.0,255.5,86.0,10.7,5.93,98220.0
20210320:1800,0.0,0.0,0.0,9.82,4.55,98290.0
20210320:1900,0.0,0.0,0.0,9.03,3.66,98340.0
20210320:2000,0.0,0.0,0.0,8.26,2.97,98400.0
20210320:2100,0.0,0.0,0.0,7.44,2.28,98470.0
20210320:2200,0.0,0.0,0.0,6.42,1.93,98520.0
20210320:2300,0.0,0.0,0.0,5.51,1.93,98560.0
20210321:0000,0.0,0.0,0.0,4.95,2.0,98590.0
20210321:0100,0.0,0.0,0.0,4.83,2.21,98600.0
20210321:0200,0.0,0.0,0.0,4.77,2.34,98610.0
20210321:0300,0.0,0.0,0.0,4.62,2.34,98570.0
20210321:0400,0.0,0.0,0.0,4.17,2.28,98600.0
20210321:0500,0.0,0.0,0.0,3.65,2.21,98640.0
20210321:0600,0.0,0.0,0.0,3.26,2.21,98660.0
20210321:0700,163.0,523.32,59.0,3.44,1.86,98700.0
20210321:0800,374.0,713.38,96.0,6.62,1.72,98730.0
20210321:0900,568.0,811.86,118.0,9.25,2.48,98760.0
20210321:1000,722.0,863.09,134.0,10.65,2.28,98770.0
20210321:1100,852.0,980.3,105.0,11.9,1.93,98750.0
20210321:1200,869.0,933.0,131.0,12.95,1.38,98700.0
20210321:1300,824.0,886.13,145.0,13.76,0.83,98620.0
20210321:1400,732.0,867.33,134.0,14.41,0.48,98520.0
20210321:1500,576.0,796.99,125.0,14.74,0.34,98440.0
20210321:1600,382.0,685.8,105.0,14.66,1.38,98400.0
20210321:1700,173.0,493.99,67.0,13.9,2.69,98390.0
20210321:1800,0.0,0.0,0.0,12.24,3.38,98400.0
20210321:1900,0.0,0.0,0.0,10.78,3.59,98380.0
20210321:2000,0.0,0.0,0.0,9.77,3.24,98400.0
20210321:2100,0.0,0.0,0.0,9.11,2.97,98410.0
20210321:2200,0.0,0.0,0.0,8.57,2.69,98380.0
20210321:2300,0.0,0.0,0.0,7.83,2.28,98360.0
20210322:0000,0.0,0.0,0.0,6.99,2.21,98340.0
20210322:0100,0.0,0.0,0.0,6.55,2.41,98300.0
20210322:0200,0.0,0.0,0.0,6.52,2.76,98270.0
20210322:0300,0.0,0.0,0.0,6.8,3.1,98240.0
20210322:0400,0.0,0.0,0.0,6.65,3.24,98240.0
20210322:0500,0.0,0.0,0.0,6.29,3.24,98270.0
20210322:0600,0.0,0.0,0.0,5.87,3.17,98310.0
20210322:0700,166.0,514.72,61.0,6.6,2.62,98330.0
20210322:0800,371.0,676.21,104.0,9.15,2.48,98400.0
20210322:0900,573.0,811.79,119.0,11.67,2.62,98460.0
20210322:1000,737.0,897.94,121.0,13.68,2.21,98530.0
20210322:1100,826.0,894.98,140.0,14.79,0.9,98550.0
20210322:1200,871.0,930.57,131.0,15.64,1.59,98570.0
20210322:1300,839.0,920.55,130.0,16.05,2.41,98550.0
20210322:1400,742.0,888.69,126.0,15.99,2.97,98530.0
20210322:1500,594.0,850.09,110.0,15.55,3.31,98510.0
20210322:1600,388.0,702.34,102.0,14.78,3.52,98530.0
20210322:1700,176.0,505.08,66.0,13.64,3.59,98570.0
20210322:1800,0.0,0.0,0.0,12.39,2.62,98610.0
20210322:1900,0.0,0.0,0.0,11.34,2.21,98620.0
20210322:2000,0.0,0.0,0.0,10.42,1.72,98650.0
20210322:2100,0.0,0.0,0.0,9.31,1.17,98690.0
20210322:2200,0.0,0.0,0.0,8.65,1.1,98710.0
20210322:2300,0.0,0.0,0.0,7.46,1.38,98690.0
20210323:0000,0.0,0.0,0.0,6.71,1.45,98700.0
20210323:0100,0.0,0.0,0.0,6.08,1.52,98690.0
20210323:0200,0.0,0.0,0.0,5.58,1.52,98670.0
20210323:0300,0.0,0.0,0.0,5.19,1.52,98670.0
20210323:0400,0.0,0.0,0.0,4.91,1.66,98690.0
20210323:0500,0.0,0.0,0.0,4.65,1.66,98710.0
20210323:0600,0.0,0.0,0.0,4.44,1.66,98740.0
20210323:0700,172.0,530.46,61.0,5.18,1.31,98820.0
20210323:0800,382.0,712.54,97.0,9.78,0.9,98900.0
20210323:0900,585.0,841.9,110.0,13.41,0.9,98940.0
20210323:1000,747.0,917.87,113.0,15.65,1.45,98980.0
20210323:1100,845.0,940.4,120.0,17.28,1.93,98950.0
20210323:1200,873.0,926.97,132.0,18.39,2.55,98950.0
20210323:1300,836.0,904.29,136.0,18.89,3.24,98880.0
20210323:1400,743.0,884.04,127.0,18.91,3.72,98830.0
20210323:1500,595.0,845.0,111.0,18.52,4.14,98780.0
20210323:1600,390.0,699.18,103.0,17.65,4.41,98770.0
20210323:1700,176.0,484.23,69.0,16.42,3.86,98790.0
20210323:1800,0.0,0.0,0.0,14.97,3.03,98820.0
20210323:1900,0.0,0.0,0.0,13.59,2.41,98850.0
20210323:2000,0.0,0.0,0.0,12.61,1.72,98870.0
20210323:2100,0.0,0.0,0.0,11.93,0.83,98920.0
20210323:2200,0.0,0.0,0.0,11.69,0.28,98930.0
20210323:2300,0.0,0.0,0.0,11.17,0.48,98950.0
20210324:0000,0.0,0.0,0.0,10.66,0.55,98940.0
20210324:0100,0.0,0.0,0.0,10.14,0.83,98940.0
20210324:0200,0.0,0.0,0.0,8.51,1.24,98930.0
20210324:0300,0.0,0.0,0.0,7.51,1.45,98910.0
20210324:0400,0.0,0.0,0.0,6.87,1.45,98940.0
20210324:0500,0.0,0.0,0.0,6.48,1.45,98940.0
20210324:0600,0.0,0.0,0.0,6.22,1.45,98990.0
20210324:0700,135.0,214.45,89.0,7.17,1.17,99090.0
20210324:0800,252.0,148.11,192.0,11.72,0.97,99170.0
20210324:0900,340.0,105.43,280.0,13.87,1.31,99220.0
20210324:1000,717.0,816.78,149.0,15.43,1.1,99270.0
20210324:1100,824.0,874.44,146.0,16.98,1.17,99250.0
20210324:1200,855.0,872.43,154.0,18.01,1.66,99220.0
20210324:1300,814.0,832.98,166.0,18.74,2.21,99160.0
20210324:1400,731.0,843.81,140.0,19.0,2.62,99090.0
20210324:1500,577.0,775.81,130.0,18.79,2.9,99050.0
20210324:1600,381.0,640.52,116.0,18.06,2.76,99030.0
20210324:1700,178.0,477.4,71.0,16.89,2.55,99040.0
20210324:1800,0.0,0.0,0.0,15.36,1.93,99060.0
20210324:1900,0.0,0.0,0.0,13.78,1.52,99070.0
20210324:2000,0.0,0.0,0.0,12.83,0.97,99140.0
20210324:2100,0.0,0.0,0.0,12.45,0.28,99160.0
20210324:2200,0.0,0.0,0.0,11.87,0.21,99150.0
20210324:2300,0.0,0.0,0.0,11.29,0.48,99130.0
20210325:0000,0.0,0.0,0.0,10.36,0.83,99100.0
20210325:0100,0.0,0.0,0.0,9.1,1.1,99040.0
20210325:0200,0.0,0.0,0.0,8.2,1.31,99000.0
20210325:0300,0.0,0.0,0.0,7.63,1.38,98950.0
20210325:0400,0.0,0.0,0.0,7.29,1.45,98930.0
20210325:0500,0.0,0.0,0.0,6.97,1.52,98920.0
20210325:0600,0.0,0.0,0.0,6.81,1.52,98950.0
20210325:0700,181.0,532.45,64.0,7.86,1.24,99060.0
20210325:0800,389.0,699.68,102.0,11.61,0.97,99090.0
20210325:0900,592.0,837.96,111.0,15.05,1.03,99130.0
20210325:1000,753.0,912.79,114.0,17.55,1.24,99120.0
20210325:1100,846.0,923.41,126.0,19.38,1.52,99080.0
20210325:1200,863.0,884.13,149.0,20.57,2.28,99040.0
20210325:1300,840.0,899.28,137.0,21.0,3.17,98960.0
20210325:1400,746.0,879.32,127.0,20.87,3.66,98890.0
20210325:1500,596.0,829.99,115.0,20.34,3.72,98850.0
20210325:1600,375.0,592.42,128.0,19.43,3.59,98840.0
20210325:1700,165.0,347.61,86.0,18.15,3.17,98830.0
20210325:1800,0.0,0.0,0.0,16.5,2.34,98860.0
20210325:1900,0.0,0.0,0.0,14.99,1.59,98880.0
20210325:2000,0.0,0.0,0.0,13.83,1.1,98970.0
20210325:2100,0.0,0.0,0.0,12.88,0.69,98990.0
20210325:2200,0.0,0.0,0.0,12.74,0.41,99000.0
20210325:2300,0.0,0.0,0.0,12.17,0.48,99000.0
20210326:0000,0.0,0.0,0.0,11.65,0.48,98980.0
20210326:0100,0.0,0.0,0.0,11.39,0.28,98920.0
20210326:0200,0.0,0.0,0.0,10.98,0.48,98880.0
20210326:0300,0.0,0.0,0.0,10.07,0.9,98820.0
20210326:0400,0.0,0.0,0.0,8.81,1.1,98810.0
20210326:0500,0.0,0.0,0.0,8.23,1.24,98820.0
20210326:0600,0.0,0.0,0.0,8.05,1.31,98820.0
20210326:0700,117.0,97.79,95.0,9.66,0.9,98920.0
20210326:0800,314.0,325.1,179.0,12.25,0.9,98960.0
20210326:0900,573.0,756.65,135.0,14.52,0.83,99010.0
20210326:1000,700.0,723.76,190.0,16.9,0.41,99000.0
20210326:1100,843.0,906.84,132.0,19.05,0.62,98990.0
20210326:1200,864.0,880.97,149.0,20.64,1.79,98910.0
20210326:1300,818.0,828.78,167.0,21.37,2.9,98850.0
20210326:1400,564.0,326.52,333.0,21.39,3.52,98770.0
20210326:1500,344.0,101.23,285.0,20.73,3.59,98720.0
20210326:1600,217.0,64.27,190.0,19.57,3.31,98710.0
20210326:1700,103.0,52.09,91.0,18.43,2.76,98690.0
20210326:1800,0.0,0.0,0.0,17.25,2.07,98700.0
20210326:1900,0.0,0.0,0.0,15.44,1.1,98730.0
20210326:2000,0.0,0.0,0.0,14.16,0.83,98790.0
20210326:2100,0.0,0.0,0.0,13.61,0.62,98860.0
20210326:2200,0.0,0.0,0.0,13.24,0.41,98860.0
20210326:2300,0.0,0.0,0.0,12.6,0.48,98870.0
20210327:0000,0.0,0.0,0.0,11.74,0.76,98850.0
20210327:0100,0.0,0.0,0.0,10.04,1.24,98830.0
20210327:0200,0.0,0.0,0.0,9.18,1.45,98780.0
20210327:0300,0.0,0.0,0.0,8.68,1.59,98740.0
20210327:0400,0.0,0.0,0.0,8.28,1.66,98760.0
20210327:0500,0.0,0.0,0.0,7.95,1.66,98820.0
20210327:0600,0.0,0.0,0.0,7.82,1.79,98890.0
20210327:0700,177.0,430.13,78.0,8.82,1.45,99000.0
20210327:0800,384.0,632.89,118.0,13.84,1.86,99090.0
20210327:0900,580.0,767.53,132.0,16.31,3.52,99140.0
20210327:1000,739.0,848.83,137.0,17.74,4.0,99200.0
20210327:1100,823.0,842.31,159.0,18.78,4.34,99220.0
20210327:1200,852.0,836.2,170.0,19.44,4.97,99220.0
20210327:1300,824.0,842.63,159.0,19.63,5.45,99190.0
20210327:1400,749.0,872.1,129.0,19.4,5.79,99140.0
20210327:1500,586.0,779.71,129.0,18.63,5.66,99150.0
20210327:1600,385.0,623.72,121.0,17.83,5.52,99150.0
20210327:1700,69.0,4.28,68.0,16.82,5.24,99160.0
20210327:1800,3.0,0.0,3.0,15.63,4.14,99190.0
20210327:1900,0.0,0.0,0.0,14.16,3.86,99230.0
20210327:2000,0.0,0.0,0.0,13.39,3.45,99290.0
20210327:2100,0.0,0.0,0.0,12.71,3.24,99360.0
20210327:2200,0.0,0.0,0.0,12.15,2.9,99390.0
20210327:2300,0.0,0.0,0.0,11.63,2.48,99420.0
20210328:0000,0.0,0.0,0.0,11.12,2.28,99440.0
20210328:0100,0.0,0.0,0.0,10.77,2.34,99400.0
20210328:0200,0.0,0.0,0.0,10.3,2.48,99360.0
20210328:0300,0.0,0.0,0.0,9.89,2.55,99330.0
20210328:0400,0.0,0.0,0.0,9.55,2.55,99290.0
20210328:0500,0.0,0.0,0.0,9.09,2.41,99300.0
20210328:0600,2.0,0.0,2.0,8.7,2.28,99290.0
20210328:0700,150.0,216.7,99.0,9.22,1.66,99450.0
20210328:0800,333.0,366.79,177.0,12.54,1.72,99500.0
20210328:0900,407.0,200.52,289.0,15.1,2.41,99550.0
20210328:1000,719.0,766.4,172.0,16.78,3.66,99550.0
20210328:1100,845.0,892.07,138.0,18.14,4.69,99520.0
20210328:1200,883.0,913.94,134.0,19.15,5.24,99470.0
20210328:1300,736.0,561.26,291.0,19.66,5.38,99450.0
20210328:1400,290.0,9.8,283.0,19.63,5.66,99410.0
20210328:1500,576.0,727.91,147.0,19.26,5.72,99390.0
20210328:1600,381.0,586.32,131.0,18.59,5.52,99380.0
20210328:1700,124.0,101.46,100.0,17.63,5.03,99400.0
20210328:1800,1.0,0.0,1.0,16.4,3.93,99400.0
20210328:1900,0.0,0.0,0.0,14.95,3.59,99410.0
20210328:2000,0.0,0.0,0.0,14.28,3.1,99470.0
20210328:2100,0.0,0.0,0.0,13.71,2.69,99530.0
20210328:2200,0.0,0.0,0.0,13.29,2.34,99550.0
20210328:2300,0.0,0.0,0.0,12.8,2.21,99590.0
20210329:0000,0.0,0.0,0.0,12.4,2.48,99560.0
20210329:0100,0.0,0.0,0.0,12.12,2.69,99500.0
20210329:0200,0.0,0.0,0.0,11.75,2.76,99440.0
20210329:0300,0.0,0.0,0.0,11.43,2.9,99330.0
20210329:0400,0.0,0.0,0.0,11.04,2.76,99300.0
20210329:0500,0.0,0.0,0.0,10.65,2.48,99290.0
20210329:0600,3.0,0.0,3.0,10.34,2.28,99330.0
20210329:0700,192.0,490.62,74.0,11.77,1.93,99390.0
20210329:0800,360.0,476.42,155.0,14.34,1.86,99450.0
20210329:0900,503.0,446.71,238.0,16.37,3.52,99460.0
20210329:1000,683.0,636.31,226.0,18.21,4.83,99450.0
20210329:1100,731.0,544.74,297.0,19.58,5.31,99460.0
20210329:1200,797.0,654.59,258.0,20.31,5.59,99380.0
20210329:1300,811.0,788.47,183.0,21.05,5.52,99330.0
20210329:1400,722.0,774.66,166.0,21.29,5.59,99270.0
20210329:1500,562.0,666.6,167.0,21.12,5.59,99220.0
20210329:1600,366.0,505.27,149.0,20.58,5.59,99200.0
20210329:1700,172.0,342.23,90.0,19.58,5.17,99190.0
20210329:1800,4.0,0.0,4.0,18.22,4.34,99210.0
20210329:1900,0.0,0.0,0.0,16.42,3.72,99280.0
20210329:2000,0.0,0.0,0.0,15.57,3.52,99360.0
20210329:2100,0.0,0.0,0.0,14.85,3.38,99380.0
20210329:2200,0.0,0.0,0.0,14.35,3.31,99390.0
20210329:2300,0.0,0.0,0.0,13.87,3.03,99390.0
20210330:0000,0.0,0.0,0.0,13.32,2.62,99380.0
20210330:0100,0.0,0.0,0.0,12.72,2.48,99360.0
20210330:0200,0.0,0.0,0.0,12.29,2.62,99300.0
20210330:0300,0.0,0.0,0.0,11.96,2.69,99240.0
20210330:0400,0.0,0.0,0.0,11.78,2.48,99230.0
20210330:0500,0.0,0.0,0.0,11.34,2.48,99240.0
20210330:0600,9.0,23.76,8.0,11.07,2.55,99260.0
20210330:0700,208.0,569.92,68.0,12.69,2.48,99320.0
20210330:0800,352.0,413.57,172.0,15.16,3.03,99350.0
20210330:0900,445.0,272.61,282.0,17.42,4.48,99360.0
20210330:1000,650.0,518.94,275.0,18.95,5.17,99380.0
20210330:1100,711.0,479.49,327.0,20.3,5.59,99360.0
20210330:1200,867.0,851.01,163.0,21.13,5.79,99340.0
20210330:1300,728.0,524.97,308.0,21.4,6.07,99290.0
20210330:1400,757.0,870.93,129.0,21.13,6.21,99230.0
20210330:1500,507.0,451.55,238.0,20.61,6.14,99170.0
20210330:1600,266.0,143.34,204.0,19.87,5.86,99140.0
20210330:1700,98.0,28.85,91.0,18.85,5.31,99140.0
20210330:1800,7.0,0.0,7.0,17.53,4.21,99140.0
20210330:1900,0.0,0.0,0.0,16.09,4.21,99160.0
20210330:2000,0.0,0.0,0.0,15.31,3.79,99200.0
20210330:2100,0.0,0.0,0.0,14.72,3.31,99210.0
20210330:2200,0.0,0.0,0.0,14.26,2.97,99210.0
20210330:2300,0.0,0.0,0.0,13.75,2.62,99190.0
20210331:0000,0.0,0.0,0.0,13.03,2.41,99170.0
20210331:0100,0.0,0.0,0.0,12.17,2.34,99110.0
20210331:0200,0.0,0.0,0.0,11.48,2.34,99060.0
20210331:0300,0.0,0.0,0.0,11.02,2.48,99000.0
20210331:0400,0.0,0.0,0.0,10.66,2.69,98990.0
20210331:0500,0.0,0.0,0.0,10.41,2.76,98960.0
20210331:0600,8.0,0.0,8.0,10.07,2.69,98940.0
20210331:0700,190.0,394.81,91.0,10.91,2.28,99010.0
20210331:0800,402.0,624.79,127.0,14.22,2.76,99010.0
20210331:0900,597.0,751.76,144.0,16.59,3.79,99040.0
20210331:1000,761.0,858.32,137.0,18.37,4.41,99020.0
20210331:1100,863.0,900.71,138.0,19.68,4.83,98980.0
20210331:1200,900.0,921.74,134.0,20.54,5.1,98940.0
20210331:1300,842.0,848.73,160.0,21.05,5.24,98870.0
20210331:1400,737.0,788.28,166.0,21.25,5.24,98790.0
20210331:1500,585.0,721.39,153.0,21.09,5.31,98720.0
20210331:1600,390.0,587.74,134.0,18.75,3.87,98660.0
20210331:1700,184.0,382.66,90.0,17.93,3.78,98660.0
20210331:1800,10.0,23.79,9.0,17.12,3.68,98660.0
20210331:1900,0.0,0.0,0.0,16.31,3.58,98650.0
20210331:2000,0.0,0.0,0.0,15.5,3.49,98700.0
20210331:2100,0.0,0.0,0.0,14.69,3.39,98720.0
20210331:2200,0.0,0.0,0.0,13.88,3.29,98710.0
20210331:2300,0.0,0.0,0.0,13.07,3.2,98660.0
20220401:0000,0.0,0.0,0.0,12.25,3.1,97390.0
20220401:0100,0.0,0.0,0.0,11.44,3.0,97360.0
20220401:0200,0.0,0.0,0.0,10.63,2.9,97380.0
20220401:0300,0.0,0.0,0.0,9.82,2.81,97380.0
20220401:0400,0.0,0.0,0.0,9.01,2.71,97390.0
20220401:0500,0.0,0.0,0.0,8.2,2.61,97440.0
20220401:0600,14.0,19.03,13.0,7.39,2.52,97540.0
20220401:0700,101.0,23.45,95.0,6.57,2.42,97590.0
20220401:0800,317.0,247.18,207.0,11.64,3.52,97710.0
20220401:0900,245.0,9.88,239.0,12.57,4.07,97820.0
20220401:1000,486.0,151.78,375.0,13.21,3.59,97870.0
20220401:1100,720.0,466.04,343.0,13.97,3.45,97940.0
20220401:1200,834.0,699.6,250.0,14.57,3.45,97940.0
20220401:1300,886.0,945.45,123.0,14.97,3.45,97950.0
20220401:1400,747.0,797.13,167.0,14.99,3.38,97900.0
20220401:1500,534.0,505.04,230.0,15.04,3.24,97900.0
20220401:1600,435.0,777.53,94.0,14.55,2.9,97940.0
20220401:1700,166.0,249.36,104.0,14.09,1.93,97970.0
20220401:1800,7.0,0.0,7.0,13.22,1.45,98040.0
20220401:1900,0.0,0.0,0.0,12.2,2.21,98080.0
20220401:2000,0.0,0.0,0.0,11.37,2.62,98180.0
20220401:2100,0.0,0.0,0.0,10.22,2.69,98220.0
20220401:2200,0.0,0.0,0.0,9.02,2.55,98250.0
20220401:2300,0.0,0.0,0.0,8.11,2.48,98270.0
20220402:0000,0.0,0.0,0.0,7.33,2.55,98310.0
20220402:0100,0.0,0.0,0.0,6.68,2.76,98310.0
20220402:0200,0.0,0.0,0.0,6.26,3.1,98290.0
20220402:0300,0.0,0.0,0.0,5.81,3.45,98290.0
20220402:0400,0.0,0.0,0.0,5.27,3.52,98300.0
20220402:0500,0.0,0.0,0.0,4.72,3.59,98300.0
20220402:0600,18.0,34.64,16.0,4.28,3.66,98370.0
20220402:0700,226.0,571.14,77.0,5.28,3.52,98430.0
20220402:0800,445.0,746.92,109.0,7.03,4.48,98460.0
20220402:0900,648.0,859.8,122.0,8.65,4.97,98490.0
20220402:1000,829.0,985.58,104.0,10.24,4.76,98490.0
20220402:1100,931.0,1017.32,104.0,11.57,4.07,98480.0
20220402:1200,927.0,927.91,149.0,12.59,3.24,98440.0
20220402:1300,896.0,930.36,142.0,13.3,2.41,98350.0
20220402:1400,798.0,912.69,131.0,13.84,2.0,98290.0
20220402:1500,639.0,856.22,121.0,14.11,1.72,98220.0
20220402:1600,449.0,801.74,95.0,14.05,1.45,98180.0
20220402:1700,225.0,623.97,68.0,13.39,1.03,98170.0
20220402:1800,13.0,20.77,12.0,11.97,1.59,98200.0
20220402:1900,0.0,0.0,0.0,10.48,1.03,98160.0
20220402:2000,0.0,0.0,0.0,8.76,1.31,98220.0
20220402:2100,0.0,0.0,0.0,7.55,1.38,98250.0
20220402:2200,0.0,0.0,0.0,7.36,1.03,98270.0
20220402:2300,0.0,0.0,0.0,7.56,0.41,98240.0
20220403:0000,0.0,0.0,0.0,5.94,1.1,98230.0
20220403:0100,0.0,0.0,0.0,5.35,1.79,98230.0
20220403:0200,0.0,0.0,0.0,5.25,2.07,98180.0
20220403:0300,0.0,0.0,0.0,4.94,2.14,98180.0
20220403:0400,0.0,0.0,0.0,4.62,2.21,98180.0
20220403:0500,0.0,0.0,0.0,4.59,2.14,98180.0
20220403:0600,20.0,31.79,18.0,4.21,2.14,98200.0
20220403:0700,196.0,334.72,107.0,4.61,1.72,98200.0
20220403:0800,439.0,717.05,113.0,6.99,2.28,98220.0
20220403:0900,645.0,850.25,121.0,8.48,3.03,98220.0
20220403:1000,791.0,881.28,139.0,9.71,3.52,98210.0
20220403:1100,912.0,974.49,116.0,10.78,3.52,98160.0
20220403:1200,835.0,667.4,273.0,11.52,3.93,98100.0
20220403:1300,845.0,790.12,202.0,11.95,4.48,98010.0
20220403:1400,571.0,284.75,362.0,11.99,4.97,97940.0
20220403:1500,495.0,360.2,276.0,11.43,5.38,97900.0
20220403:1600,356.0,377.97,188.0,10.53,5.52,97880.0
20220403:1700,124.0,66.78,107.0,9.72,5.1,97920.0
20220403:1800,5.0,0.0,5.0,8.88,4.28,97990.0
20220403:1900,0.0,0.0,0.0,8.17,4.0,98030.0
20220403:2000,0.0,0.0,0.0,7.58,4.0,98060.0
20220403:2100,0.0,0.0,0.0,7.28,4.0,98110.0
20220403:2200,0.0,0.0,0.0,7.09,4.07,98120.0
20220403:2300,0.0,0.0,0.0,7.16,4.21,98100.0
20220404:0000,0.0,0.0,0.0,7.19,4.41,98070.0
20220404:0100,0.0,0.0,0.0,7.03,4.48,98010.0
20220404:0200,0.0,0.0,0.0,7.13,4.55,97980.0
20220404:0300,0.0,0.0,0.0,7.19,4.76,97920.0
20220404:0400,0.0,0.0,0.0,7.18,5.1,97900.0
20220404:0500,0.0,0.0,0.0,7.24,5.38,97870.0
20220404:0600,7.0,0.0,7.0,7.19,5.59,97880.0
20220404:0700,56.0,0.0,56.0,7.57,4.97,97910.0
